id,nearest_songs
0,"[29, 142]"
1,"[214, 7]"
2,"[426, 77]"
3,"[73, 1035]"
4,"[240, 545]"
5,"[301, 149]"
6,"[1181, 584]"
7,"[1, 326]"
8,"[549, 550]"
9,"[507, 483]"
10,"[66, 64]"
11,"[304, 600]"
12,"[98, 137]"
13,"[142, 29]"
14,"[1029, 352]"
15,"[1798, 17]"
16,"[61, 1615]"
17,"[147, 21]"
18,"[29, 908]"
19,"[104, 349]"
20,"[76, 42]"
21,"[276, 42]"
22,"[343, 665]"
23,"[756, 912]"
24,"[605, 695]"
25,"[108, 496]"
26,"[662, 13]"
27,"[296, 449]"
28,"[1391, 1060]"
29,"[0, 69]"
30,"[318, 617]"
31,"[46, 516]"
32,"[99, 343]"
33,"[674, 371]"
34,"[1310, 794]"
35,"[196, 1314]"
36,"[183, 506]"
37,"[50, 339]"
38,"[0, 29]"
39,"[108, 25]"
40,"[744, 93]"
41,"[69, 51]"
42,"[676, 63]"
43,"[395, 439]"
44,"[371, 258]"
45,"[197, 615]"
46,"[31, 516]"
47,"[414, 630]"
48,"[628, 970]"
49,"[1328, 1106]"
50,"[85, 757]"
51,"[41, 69]"
52,"[190, 571]"
53,"[860, 102]"
54,"[403, 135]"
55,"[310, 533]"
56,"[398, 406]"
57,"[1213, 1542]"
58,"[76, 822]"
59,"[149, 1005]"
60,"[312, 1425]"
61,"[930, 14]"
62,"[424, 275]"
63,"[42, 676]"
64,"[344, 245]"
65,"[884, 885]"
66,"[10, 1297]"
67,"[167, 464]"
68,"[539, 421]"
69,"[41, 29]"
70,"[514, 403]"
71,"[382, 160]"
72,"[357, 477]"
73,"[362, 1643]"
74,"[841, 357]"
75,"[259, 82]"
76,"[20, 182]"
77,"[564, 660]"
78,"[477, 418]"
79,"[232, 157]"
80,"[111, 112]"
81,"[271, 218]"
82,"[197, 86]"
83,"[297, 419]"
84,"[389, 513]"
85,"[50, 1118]"
86,"[197, 82]"
87,"[103, 766]"
88,"[198, 730]"
89,"[138, 543]"
90,"[131, 313]"
91,"[619, 83]"
92,"[628, 912]"
93,"[775, 1097]"
94,"[534, 152]"
95,"[291, 286]"
96,"[153, 107]"
97,"[345, 47]"
98,"[12, 348]"
99,"[32, 535]"
